date,amount,category,description,notes
2026-01-05,35.00,Food,Lunch,
2026-01-05,20.00,Food,Dinner,
2026-01-06,48.00,Food,Meal,
2026-01-07,60.00,Food,Lunch plus,
2026-01-08,10.00,Transport,Bus,
2026-01-09,55.00,Food,Dinner,
2026-01-10,40.00,Food,Snack,
2026-01-11,45.00,Food,Lunch,
2026-01-12,52.00,Food,Dinner,
2026-02-03,35.00,Food,Lunch,
2026-02-04,25.00,Food,Quick bite,
2026-02-05,58.00,Food,Dinner,
2026-02-10,40.00,Food,Lunch,
2026-02-11,62.00,Food,Dinner out,
2026-02-15,45.00,Food,Meal,
2026-03-02,35.00,Food,Lunch,
2026-03-03,48.00,Food,Meal,
2026-03-05,60.00,Food,Lunch plus,
2026-03-10,35.00,Food,Lunch,
2026-03-11,55.00,Food,Dinner,
2026-03-15,40.00,Food,Snack,
