date,amount,category,description,notes
2026-01-02,100.00,Transport,MTR pass,
2026-01-08,120.00,Transport,Bus pass,
2026-01-15,80.00,Transport,Taxi,
2026-01-22,90.00,Transport,Metro,
2026-02-01,100.00,Transport,MTR pass,
2026-02-05,120.00,Transport,Bus pass,
2026-02-12,85.00,Transport,Taxi,
2026-02-18,95.00,Transport,Metro,
2026-02-28,160.00,Transport,Airport Express,
2026-03-01,100.00,Transport,MTR pass,
2026-03-05,120.00,Transport,Bus pass,
2026-03-10,80.00,Transport,Taxi,
2026-03-15,90.00,Transport,Metro,
2026-03-20,160.00,Transport,Airport Express,
2026-03-25,70.00,Transport,Bus,
